district,year_month,demand_enrolments,demand_updates,demand_total
Dewas,2025-04,113,40,153
Dewas,2025-05,276,97,373
Dewas,2025-06,169,59,228
Dewas,2025-07,113,40,153
Dewas,2025-08,336,118,454
Dewas,2025-09,335,117,452
Dewas,2025-10,320,112,432
Dewas,2025-11,231,81,312
Dewas,2025-12,183,64,247
Dhalai,2025-01,216,76,292
Dhalai,2025-02,59,21,80
Dhalai,2025-03,46,16,62
Dhalai,2025-04,32,11,43
Dhalai,2025-05,41,14,55
Dhalai,2025-06,35,12,47
Dhalai,2025-07,22,8,30
Dhalai,2025-08,33,12,45
Dhalai,2025-09,46,16,62
Dhalai,2025-10,37,13,50
Dhalai,2025-11,43,15,58
Dhalai,2025-12,37,13,50
Dhalai  *,2025-01,1,0,1
Dhalai  *,2025-04,1,0,1
Dhalai  *,2025-06,1,0,1
Dhalai  *,2025-08,1,0,1
Dhalai  *,2025-09,4,1,5
Dhalai  *,2025-10,3,1,4
Dhalai  *,2025-11,6,2,8
Dhamtari,2025-01,37,13,50
Dhamtari,2025-02,108,38,146
Dhamtari,2025-03,66,23,89
Dhamtari,2025-04,17,6,23
Dhamtari,2025-05,47,16,63
Dhamtari,2025-06,46,16,62
Dhamtari,2025-07,19,7,26
Dhamtari,2025-08,48,17,65
Dhamtari,2025-09,66,23,89
Dhamtari,2025-10,74,26,100
Dhamtari,2025-11,58,20,78
Dhamtari,2025-12,45,16,61
Dhanbad,2025-01,1730,606,2336
Dhanbad,2025-02,442,155,597
Dhanbad,2025-03,116,41,157
Dhanbad,2025-04,106,37,143
Dhanbad,2025-05,292,102,394
Dhanbad,2025-06,246,86,332
Dhanbad,2025-07,202,71,273
Dhanbad,2025-08,403,141,544
Dhanbad,2025-09,316,111,427
Dhanbad,2025-10,310,108,418
Dhanbad,2025-11,269,94,363
Dhanbad,2025-12,298,104,402
Dhar,2025-01,3263,1142,4405
Dhar,2025-02,404,141,545
Dhar,2025-03,209,73,282
Dhar,2025-04,59,21,80
Dhar,2025-05,140,49,189
Dhar,2025-06,149,52,201
Dhar,2025-07,99,35,134
Dhar,2025-08,319,112,431
Dhar,2025-09,362,127,489
Dhar,2025-10,344,120,464
Dhar,2025-11,270,94,364
Dhar,2025-12,241,84,325
Dharashiv,2025-01,1,0,1
Dharashiv,2025-02,8,3,11
Dharashiv,2025-03,2,1,3
Dharashiv,2025-04,1,0,1
Dharashiv,2025-05,2,1,3
Dharashiv,2025-06,4,1,5
Dharashiv,2025-08,2,1,3
Dharashiv,2025-09,9,3,12
Dharashiv,2025-10,3,1,4
Dharashiv,2025-11,7,2,9
Dharashiv,2025-12,8,3,11
Dharmapuri,2025-01,188,66,254
Dharmapuri,2025-02,254,89,343
Dharmapuri,2025-03,212,74,286
Dharmapuri,2025-04,57,20,77
Dharmapuri,2025-05,122,43,165
Dharmapuri,2025-06,150,52,202
Dharmapuri,2025-07,92,32,124
Dharmapuri,2025-08,147,51,198
Dharmapuri,2025-09,145,51,196
Dharmapuri,2025-10,148,52,200
Dharmapuri,2025-11,155,54,209
Dharmapuri,2025-12,161,56,217
Dharwad,2025-01,136,48,184
Dharwad,2025-02,228,80,308
Dharwad,2025-03,107,37,144
Dharwad,2025-04,77,27,104
Dharwad,2025-05,97,34,131
Dharwad,2025-06,153,54,207
Dharwad,2025-07,45,16,61
Dharwad,2025-08,138,48,186
Dharwad,2025-09,132,46,178
Dharwad,2025-10,201,70,271
Dharwad,2025-11,171,60,231
Dharwad,2025-12,120,42,162
Dhaulpur,2025-01,2,1,3
Dhaulpur,2025-02,6,2,8
Dhaulpur,2025-03,4,1,5
Dhaulpur,2025-04,6,2,8
Dhaulpur,2025-05,7,2,9
Dhaulpur,2025-06,4,1,5
Dhaulpur,2025-08,1,0,1
Dhaulpur,2025-09,3,1,4
Dhaulpur,2025-10,1,0,1
Dhaulpur,2025-11,2,1,3
Dhaulpur,2025-12,1,0,1
Dhemaji,2025-01,3966,1388,5354
Dhemaji,2025-02,101,35,136
Dhemaji,2025-03,56,20,76
Dhemaji,2025-04,56,20,76
Dhemaji,2025-05,92,32,124
Dhemaji,2025-06,137,48,185
Dhemaji,2025-07,54,19,73
Dhemaji,2025-08,71,25,96
Dhemaji,2025-09,61,21,82
Dhemaji,2025-10,135,47,182
Dhemaji,2025-11,104,36,140
Dhemaji,2025-12,148,52,200
Dhenkanal,2025-01,198,70,268
Dhenkanal,2025-02,158,56,214
Dhenkanal,2025-03,122,44,166
Dhenkanal,2025-04,136,48,184
Dhenkanal,2025-05,58,20,78
Dhenkanal,2025-06,208,74,282
Dhenkanal,2025-07,12,4,16
Dhenkanal,2025-08,188,64,252
Dhenkanal,2025-09,204,72,276
Dhenkanal,2025-10,164,58,222
Dhenkanal,2025-11,184,64,248
Dhenkanal,2025-12,176,60,236
Dholpur,2025-01,2208,773,2981
Dholpur,2025-02,284,99,383
Dholpur,2025-03,165,58,223
Dholpur,2025-04,157,55,212
Dholpur,2025-05,188,66,254
Dholpur,2025-06,229,80,309
Dholpur,2025-07,79,28,107
Dholpur,2025-08,277,97,374
Dholpur,2025-09,285,100,385
Dholpur,2025-10,265,93,358
Dholpur,2025-11,219,77,296
Dholpur,2025-12,210,74,284
Dhubri,2025-01,3701,1295,4996
Dhubri,2025-02,371,130,501
Dhubri,2025-03,228,80,308
Dhubri,2025-04,183,64,247
Dhubri,2025-05,420,147,567
Dhubri,2025-06,301,105,406
Dhubri,2025-07,74,26,100
Dhubri,2025-08,311,109,420
Dhubri,2025-09,320,112,432
Dhubri,2025-10,291,102,393
Dhubri,2025-11,212,74,286
Dhubri,2025-12,213,75,288
Dhule,2025-01,4573,1601,6174
Dhule,2025-02,345,121,466
Dhule,2025-03,209,73,282
Dhule,2025-04,168,59,227
Dhule,2025-05,79,28,107
Dhule,2025-06,85,30,115
Dhule,2025-07,84,29,113
Dhule,2025-08,297,104,401
Dhule,2025-09,296,104,400
Dhule,2025-10,279,98,377
Dhule,2025-11,320,112,432
Dhule,2025-12,305,107,412
Dibang Valley,2025-08,3,1,4
Dibrugarh,2025-01,4146,1451,5597
Dibrugarh,2025-02,161,56,217
Dibrugarh,2025-03,99,35,134
Dibrugarh,2025-04,78,27,105
Dibrugarh,2025-05,95,33,128
Dibrugarh,2025-06,139,49,188
Dibrugarh,2025-07,31,11,42
Dibrugarh,2025-08,111,39,150
Dibrugarh,2025-09,97,34,131
Dibrugarh,2025-10,94,33,127
Dibrugarh,2025-11,98,34,132
Dibrugarh,2025-12,105,37,142
Dima Hasao,2025-01,219,77,296
Dima Hasao,2025-02,1,0,1
Dima Hasao,2025-03,1,0,1
Dima Hasao,2025-05,1,0,1
Dima Hasao,2025-06,2,1,3
Dima Hasao,2025-08,2,1,3
Dima Hasao,2025-12,1,0,1
Dimapur,2025-01,2363,827,3190
Dimapur,2025-02,22,8,30
Dimapur,2025-03,32,11,43
Dimapur,2025-04,15,5,20
Dimapur,2025-05,15,5,20
Dimapur,2025-06,19,7,26
Dimapur,2025-07,12,4,16
Dimapur,2025-08,52,18,70
Dimapur,2025-09,26,9,35
Dimapur,2025-10,25,9,34
Dimapur,2025-11,19,7,26
Dimapur,2025-12,29,10,39
Dinajpur Dakshin,2025-01,997,349,1346
Dinajpur Uttar,2025-01,11600,4060,15660
Dinajpur Uttar,2025-09,71,25,96
Dindigul,2025-01,177,62,239
Dindigul,2025-02,282,99,381
Dindigul,2025-03,231,81,312
Dindigul,2025-04,87,30,117
Dindigul,2025-05,133,47,180
Dindigul,2025-06,153,54,207
Dindigul,2025-07,97,34,131
Dindigul,2025-08,204,71,275
Dindigul,2025-09,163,57,220
Dindigul,2025-10,209,73,282
Dindigul,2025-11,153,54,207
Dindigul,2025-12,214,75,289
Dindori,2025-01,59,21,80
Dindori,2025-02,102,36,138
Dindori,2025-03,46,16,62
Dindori,2025-04,34,12,46
Dindori,2025-05,41,14,55
Dindori,2025-06,30,10,40
Dindori,2025-07,23,8,31
Dindori,2025-08,99,35,134
Dindori,2025-09,89,31,120
Dindori,2025-10,55,19,74
Dindori,2025-11,54,19,73
Dindori,2025-12,56,20,76
Diu,2025-01,3,0,3
Diu,2025-02,9,0,9
Diu,2025-03,3,0,3
Diu,2025-05,3,0,3
Diu,2025-06,9,3,12
Diu,2025-07,3,0,3
Diu,2025-08,12,3,15
Diu,2025-09,21,6,27
Diu,2025-10,3,0,3
Diu,2025-11,12,3,15
Diu,2025-12,21,6,27
Doda,2025-01,1202,420,1622
Doda,2025-02,382,134,516
Doda,2025-03,114,40,154
Doda,2025-04,14,4,18
Doda,2025-05,142,50,192
Doda,2025-06,128,44,172
Doda,2025-07,76,26,102
Doda,2025-08,152,54,206
Doda,2025-09,192,68,260
Doda,2025-10,136,48,184
Doda,2025-11,68,24,92
Doda,2025-12,64,22,86
Dohad,2025-01,11239,3934,15173
Dohad,2025-02,97,34,131
Dohad,2025-03,48,17,65
Dohad,2025-04,9,3,12
Dohad,2025-05,28,10,38
Dohad,2025-06,33,12,45
Dohad,2025-07,21,7,28
Dohad,2025-08,70,24,94
Dohad,2025-09,69,24,93
Dohad,2025-10,47,16,63
Dohad,2025-11,61,21,82
Dohad,2025-12,73,26,99
Dr. B. R. Ambedkar Konaseema,2025-01,12,4,16
Dr. B. R. Ambedkar Konaseema,2025-02,28,10,38
Dr. B. R. Ambedkar Konaseema,2025-03,19,7,26
Dr. B. R. Ambedkar Konaseema,2025-04,4,1,5
Dr. B. R. Ambedkar Konaseema,2025-05,16,6,22
Dr. B. R. Ambedkar Konaseema,2025-06,18,6,24
Dr. B. R. Ambedkar Konaseema,2025-07,9,3,12
Dr. B. R. Ambedkar Konaseema,2025-08,22,8,30
Dr. B. R. Ambedkar Konaseema,2025-09,22,8,30
Dr. B. R. Ambedkar Konaseema,2025-10,24,8,32
Dr. B. R. Ambedkar Konaseema,2025-11,14,5,19
Dr. B. R. Ambedkar Konaseema,2025-12,20,7,27
Dumka,2025-01,596,209,805
Dumka,2025-02,287,100,387
Dumka,2025-03,76,27,103
Dumka,2025-04,37,13,50
Dumka,2025-05,134,47,181
Dumka,2025-06,241,84,325
Dumka,2025-07,152,53,205
Dumka,2025-08,225,79,304
Dumka,2025-09,216,76,292
Dumka,2025-10,235,82,317
Dumka,2025-11,162,57,219
Dumka,2025-12,136,48,184
Dungarpur,2025-01,319,112,431
Dungarpur,2025-02,315,110,425
Dungarpur,2025-03,191,67,258
Dungarpur,2025-04,56,20,76
Dungarpur,2025-05,106,37,143
Dungarpur,2025-06,95,33,128
Dungarpur,2025-07,53,19,72
Dungarpur,2025-08,199,70,269
Dungarpur,2025-09,221,77,298
Dungarpur,2025-10,263,92,355
Dungarpur,2025-11,208,73,281
Dungarpur,2025-12,204,71,275
Durg,2025-01,962,337,1299
Durg,2025-02,171,60,231
Durg,2025-03,70,24,94
Durg,2025-04,37,13,50
Durg,2025-05,79,28,107
Durg,2025-06,36,13,49
Durg,2025-07,37,13,50
Durg,2025-08,144,50,194
Durg,2025-09,94,33,127
Durg,2025-10,111,39,150
Durg,2025-11,90,31,121
Durg,2025-12,100,35,135
East,2025-01,13,5,18
East,2025-02,16,6,22
East,2025-03,9,3,12
East,2025-04,11,4,15
East,2025-05,21,7,28
East,2025-06,5,2,7
East,2025-07,6,2,8
East,2025-08,15,5,20
East,2025-09,14,5,19
East,2025-10,10,4,14
East,2025-11,9,3,12
East,2025-12,14,5,19
East Champaran,2025-01,8994,3148,12142
East Champaran,2025-02,710,248,958
East Champaran,2025-03,527,184,711
East Champaran,2025-04,342,120,462
East Champaran,2025-05,634,222,856
East Champaran,2025-06,724,253,977
East Champaran,2025-07,325,114,439
East Champaran,2025-08,882,309,1191
East Champaran,2025-09,643,225,868
East Champaran,2025-10,762,267,1029
East Champaran,2025-11,502,176,678
East Champaran,2025-12,603,211,814
East Delhi,2025-01,5269,1844,7113
East Delhi,2025-02,258,90,348
East Delhi,2025-03,110,38,148
East Delhi,2025-04,104,36,140
East Delhi,2025-05,145,51,196
East Delhi,2025-06,139,49,188
East Delhi,2025-07,82,29,111
East Delhi,2025-08,170,59,229
East Delhi,2025-09,161,56,217
East Delhi,2025-10,189,66,255
East Delhi,2025-11,138,48,186
East Delhi,2025-12,127,44,171
East Garo Hills,2025-01,4802,1681,6483
East Garo Hills,2025-02,63,22,85
East Garo Hills,2025-03,69,24,93
East Garo Hills,2025-04,51,18,69
East Garo Hills,2025-05,75,26,101
East Garo Hills,2025-06,7,2,9
East Garo Hills,2025-07,1,0,1
East Garo Hills,2025-08,46,16,62
East Garo Hills,2025-09,38,13,51
East Garo Hills,2025-10,35,12,47
East Garo Hills,2025-11,46,16,62
East Garo Hills,2025-12,56,20,76
East Godavari,2025-01,171,60,231
East Godavari,2025-02,351,123,474
East Godavari,2025-03,191,67,258
East Godavari,2025-04,115,40,155
East Godavari,2025-05,239,84,323
East Godavari,2025-06,197,69,266
East Godavari,2025-07,79,28,107
East Godavari,2025-08,242,85,327
East Godavari,2025-09,226,79,305
East Godavari,2025-10,258,90,348
East Godavari,2025-11,187,65,252
East Godavari,2025-12,181,63,244
East Jaintia Hills,2025-01,4254,1489,5743
East Jaintia Hills,2025-02,32,11,43
East Jaintia Hills,2025-03,53,19,72
East Jaintia Hills,2025-04,28,10,38
East Jaintia Hills,2025-05,44,15,59
East Jaintia Hills,2025-06,22,8,30
East Jaintia Hills,2025-07,7,2,9
East Jaintia Hills,2025-08,26,9,35
East Jaintia Hills,2025-09,11,4,15
East Jaintia Hills,2025-10,78,27,105
East Jaintia Hills,2025-11,30,10,40
East Jaintia Hills,2025-12,24,8,32
East Kameng,2025-01,4,1,5
East Kameng,2025-02,4,1,5
East Kameng,2025-03,3,1,4
East Kameng,2025-04,14,5,19
East Kameng,2025-05,7,2,9
East Kameng,2025-06,8,3,11
East Kameng,2025-07,4,1,5
East Kameng,2025-08,5,2,7
East Kameng,2025-09,8,3,11
East Kameng,2025-10,1,0,1
East Kameng,2025-11,2,1,3
East Kameng,2025-12,4,1,5
East Khasi Hills,2025-01,22688,7941,30629
East Khasi Hills,2025-02,272,95,367
East Khasi Hills,2025-03,279,98,377
East Khasi Hills,2025-04,88,31,119
East Khasi Hills,2025-05,290,102,392
East Khasi Hills,2025-06,68,24,92
East Khasi Hills,2025-07,33,12,45
East Khasi Hills,2025-08,165,58,223
East Khasi Hills,2025-09,162,57,219
East Khasi Hills,2025-10,238,83,321
East Khasi Hills,2025-11,241,84,325
East Khasi Hills,2025-12,323,113,436
East Midnapore,2025-01,45,16,61
East Midnapore,2025-02,120,42,162
East Midnapore,2025-03,54,19,73
East Midnapore,2025-04,27,9,36
East Midnapore,2025-05,62,22,84
East Midnapore,2025-06,75,26,101
East Midnapore,2025-07,41,14,55
East Midnapore,2025-08,69,24,93
East Midnapore,2025-09,60,21,81
East Midnapore,2025-10,92,32,124
East Midnapore,2025-11,72,25,97
East Midnapore,2025-12,54,19,73
East Nimar,2025-01,537,188,725
East Nimar,2025-02,157,55,212
East Nimar,2025-03,77,27,104
East Nimar,2025-04,49,17,66
East Nimar,2025-05,66,23,89
East Nimar,2025-06,62,22,84
East Nimar,2025-07,36,13,49
East Nimar,2025-08,107,37,144
East Nimar,2025-09,106,37,143
East Nimar,2025-10,106,37,143
East Nimar,2025-11,126,44,170
East Nimar,2025-12,77,27,104
East Siang,2025-01,1,0,1
East Siang,2025-02,10,4,14
East Siang,2025-03,3,1,4
East Siang,2025-04,3,1,4
East Siang,2025-05,8,3,11
East Siang,2025-06,5,2,7
East Siang,2025-07,2,1,3
East Siang,2025-08,7,2,9
East Siang,2025-09,8,3,11
East Siang,2025-10,3,1,4
East Siang,2025-11,5,2,7
East Siang,2025-12,3,1,4
East Sikkim,2025-01,14,5,19
East Sikkim,2025-02,17,6,23
East Sikkim,2025-03,14,5,19
East Sikkim,2025-04,9,3,12
East Sikkim,2025-05,13,5,18
East Sikkim,2025-06,7,2,9
East Sikkim,2025-07,4,1,5
East Sikkim,2025-08,8,3,11
East Sikkim,2025-09,4,1,5
East Sikkim,2025-10,11,4,15
East Sikkim,2025-11,6,2,8
East Sikkim,2025-12,9,3,12
East Singhbhum,2025-01,582,204,786
East Singhbhum,2025-02,391,137,528
East Singhbhum,2025-03,74,26,100
East Singhbhum,2025-04,60,21,81
East Singhbhum,2025-05,114,40,154
East Singhbhum,2025-06,167,58,225
East Singhbhum,2025-07,130,46,176
East Singhbhum,2025-08,235,82,317
East Singhbhum,2025-09,270,94,364
East Singhbhum,2025-10,215,75,290
East Singhbhum,2025-11,233,82,315
East Singhbhum,2025-12,148,52,200
East Singhbum,2025-01,1447,506,1953
Eastern West Khasi Hills,2025-01,10,4,14
Eastern West Khasi Hills,2025-02,7,2,9
Eastern West Khasi Hills,2025-03,6,2,8
Eastern West Khasi Hills,2025-04,7,2,9
Eastern West Khasi Hills,2025-05,5,2,7
Eastern West Khasi Hills,2025-06,11,4,15
Eastern West Khasi Hills,2025-07,7,2,9
Eastern West Khasi Hills,2025-08,1,0,1
Eastern West Khasi Hills,2025-09,3,1,4
Eastern West Khasi Hills,2025-10,5,2,7
Eastern West Khasi Hills,2025-11,5,2,7
Eastern West Khasi Hills,2025-12,10,4,14
Eluru,2025-01,6,2,8
Eluru,2025-02,28,10,38
Eluru,2025-03,13,5,18
Eluru,2025-04,9,3,12
Eluru,2025-05,11,4,15
Eluru,2025-06,23,8,31
Eluru,2025-07,11,4,15
Eluru,2025-08,16,6,22
Eluru,2025-09,18,6,24
Eluru,2025-10,28,10,38
Eluru,2025-11,29,10,39
Eluru,2025-12,12,4,16
Ernakulam,2025-01,485,170,655
Ernakulam,2025-02,266,93,359
Ernakulam,2025-03,143,50,193
Ernakulam,2025-04,19,7,26
Ernakulam,2025-05,108,38,146
Ernakulam,2025-06,103,36,139
Ernakulam,2025-07,60,21,81
Ernakulam,2025-08,166,58,224
Ernakulam,2025-09,191,67,258
Ernakulam,2025-10,192,67,259
Ernakulam,2025-11,152,53,205
Ernakulam,2025-12,148,52,200
Erode,2025-01,157,55,212
Erode,2025-02,270,94,364
Erode,2025-03,232,81,313
Erode,2025-04,73,26,99
Erode,2025-05,98,34,132
Erode,2025-06,169,59,228
Erode,2025-07,96,34,130
Erode,2025-08,163,57,220
Erode,2025-09,193,68,261
Erode,2025-10,189,66,255
Erode,2025-11,159,56,215
Erode,2025-12,193,68,261
Etah,2025-01,6505,2277,8782
Etah,2025-02,195,68,263
Etah,2025-03,97,34,131
Etah,2025-04,59,21,80
Etah,2025-05,152,53,205
Etah,2025-06,165,58,223
Etah,2025-07,95,33,128
Etah,2025-08,116,41,157
Etah,2025-09,167,58,225
Etah,2025-10,199,70,269
Etah,2025-11,124,43,167
Etah,2025-12,169,59,228
Etawah,2025-01,1751,613,2364
Etawah,2025-02,248,87,335
Etawah,2025-03,131,46,177
Etawah,2025-04,90,31,121
Etawah,2025-05,146,51,197
Etawah,2025-06,121,42,163
Etawah,2025-07,78,27,105
Etawah,2025-08,195,68,263
Etawah,2025-09,205,72,277
Etawah,2025-10,244,85,329
Etawah,2025-11,156,55,211
Etawah,2025-12,191,67,258
Faizabad,2025-01,141,49,190
Faizabad,2025-02,274,96,370
Faizabad,2025-03,196,69,265
Faizabad,2025-04,167,58,225
Faizabad,2025-05,156,55,211
Faizabad,2025-06,244,85,329
Faizabad,2025-07,111,39,150
Faizabad,2025-08,233,82,315
Faizabad,2025-09,241,84,325
Faizabad,2025-10,295,103,398
Faizabad,2025-11,204,71,275
Faizabad,2025-12,228,80,308
Faridabad,2025-01,9166,3208,12374
Faridabad,2025-02,340,119,459
Faridabad,2025-03,147,51,198
Faridabad,2025-04,123,43,166
Faridabad,2025-05,263,92,355
Faridabad,2025-06,207,72,279
Faridabad,2025-07,135,47,182
Faridabad,2025-08,201,70,271
Faridabad,2025-09,400,140,540
Faridabad,2025-10,260,91,351
Faridabad,2025-11,194,68,262
Faridabad,2025-12,195,68,263
Faridkot,2025-01,34,12,46
Faridkot,2025-02,42,15,57
Faridkot,2025-03,24,8,32
Faridkot,2025-04,19,7,26
Faridkot,2025-05,38,13,51
Faridkot,2025-06,21,7,28
Faridkot,2025-07,5,2,7
Faridkot,2025-08,35,12,47
Faridkot,2025-09,28,10,38
Faridkot,2025-10,41,14,55
Faridkot,2025-11,33,12,45
Faridkot,2025-12,25,9,34
Farrukhabad,2025-01,284,99,383
Farrukhabad,2025-02,213,75,288
Farrukhabad,2025-03,134,47,181
Farrukhabad,2025-04,98,34,132
Farrukhabad,2025-05,202,71,273
Farrukhabad,2025-06,139,49,188
Farrukhabad,2025-07,124,43,167
Farrukhabad,2025-08,140,49,189
Farrukhabad,2025-09,201,70,271
Farrukhabad,2025-10,230,80,310
Farrukhabad,2025-11,165,58,223
Farrukhabad,2025-12,182,64,246
Fatehabad,2025-01,37,13,50
Fatehabad,2025-02,101,35,136
Fatehabad,2025-03,43,15,58
Fatehabad,2025-04,13,5,18
Fatehabad,2025-05,43,15,58
Fatehabad,2025-06,52,18,70
Fatehabad,2025-07,38,13,51
Fatehabad,2025-08,69,24,93
Fatehabad,2025-09,68,24,92
Fatehabad,2025-10,93,33,126
Fatehabad,2025-11,51,18,69
Fatehabad,2025-12,62,22,84
Fatehgarh Sahib,2025-01,35,12,47
Fatehgarh Sahib,2025-02,55,19,74
Fatehgarh Sahib,2025-03,28,10,38
Fatehgarh Sahib,2025-04,15,5,20
Fatehgarh Sahib,2025-05,35,12,47
Fatehgarh Sahib,2025-06,31,11,42
Fatehgarh Sahib,2025-07,8,3,11
Fatehgarh Sahib,2025-08,30,10,40
Fatehgarh Sahib,2025-09,35,12,47
Fatehgarh Sahib,2025-10,41,14,55
Fatehgarh Sahib,2025-11,34,12,46
Fatehgarh Sahib,2025-12,31,11,42
Fatehpur,2025-01,4321,1512,5833
Fatehpur,2025-02,319,112,431
Fatehpur,2025-03,242,85,327
Fatehpur,2025-04,170,59,229
Fatehpur,2025-05,164,57,221
Fatehpur,2025-06,199,70,269
Fatehpur,2025-07,115,40,155
Fatehpur,2025-08,290,102,392
Fatehpur,2025-09,309,108,417
Fatehpur,2025-10,350,122,472
Fatehpur,2025-11,207,72,279
Fatehpur,2025-12,283,99,382
Fazilka,2025-01,77,27,104
Fazilka,2025-02,107,37,144
Fazilka,2025-03,61,21,82
Fazilka,2025-04,45,16,61
Fazilka,2025-05,79,28,107
Fazilka,2025-06,40,14,54
Fazilka,2025-07,9,3,12
Fazilka,2025-08,63,22,85
Fazilka,2025-09,92,32,124
Fazilka,2025-10,54,19,73
Fazilka,2025-11,50,18,68
Fazilka,2025-12,56,20,76
Ferozepur,2025-01,69,24,93
Ferozepur,2025-02,80,28,108
Ferozepur,2025-03,29,10,39
Ferozepur,2025-04,29,10,39
Ferozepur,2025-05,59,21,80
Ferozepur,2025-06,34,12,46
Ferozepur,2025-07,3,1,4
Ferozepur,2025-08,59,21,80
Ferozepur,2025-09,38,13,51
Ferozepur,2025-10,44,15,59
Ferozepur,2025-11,66,23,89
Ferozepur,2025-12,34,12,46
Firozabad,2025-01,5517,1931,7448
Firozabad,2025-02,310,108,418
Firozabad,2025-03,186,65,251
Firozabad,2025-04,140,49,189
Firozabad,2025-05,188,66,254
Firozabad,2025-06,209,73,282
Firozabad,2025-07,87,30,117
Firozabad,2025-08,218,76,294
Firozabad,2025-09,322,113,435
Firozabad,2025-10,356,125,481
Firozabad,2025-11,174,61,235
Firozabad,2025-12,273,96,369
Firozpur,2025-01,20,7,27
Firozpur,2025-02,28,10,38
Firozpur,2025-03,20,7,27
Firozpur,2025-04,11,4,15
Firozpur,2025-05,8,3,11
Firozpur,2025-06,10,4,14
Firozpur,2025-07,1,0,1
Firozpur,2025-08,18,6,24
Firozpur,2025-09,20,7,27
Firozpur,2025-10,10,4,14
Firozpur,2025-11,13,5,18
Firozpur,2025-12,10,4,14
Gadag,2025-01,90,31,121
Gadag,2025-02,207,72,279
Gadag,2025-03,87,30,117
Gadag,2025-04,106,37,143
Gadag,2025-05,53,19,72
Gadag,2025-06,103,36,139
Gadag,2025-07,37,13,50
Gadag,2025-08,247,86,333
Gadag,2025-09,187,65,252
Gadag,2025-10,217,76,293
Gadag,2025-11,224,78,302
Gadag,2025-12,235,82,317
Gadag *,2025-01,6,2,8
Gadag *,2025-02,4,1,5
Gadag *,2025-03,3,1,4
Gadag *,2025-04,10,4,14
Gadag *,2025-05,1,0,1
Gadag *,2025-06,6,2,8
Gadag *,2025-08,6,2,8
Gadag *,2025-09,3,1,4
Gadag *,2025-10,6,2,8
Gadag *,2025-11,12,4,16
Gadag *,2025-12,4,1,5
Gadchiroli,2025-01,33,12,45
Gadchiroli,2025-02,67,23,90
Gadchiroli,2025-03,67,23,90
Gadchiroli,2025-04,50,18,68
Gadchiroli,2025-05,25,9,34
Gadchiroli,2025-06,50,18,68
Gadchiroli,2025-07,16,6,22
Gadchiroli,2025-08,85,30,115
Gadchiroli,2025-09,92,32,124
Gadchiroli,2025-10,94,33,127
Gadchiroli,2025-11,85,30,115
Gadchiroli,2025-12,66,23,89
Gajapati,2025-01,195,69,264
Gajapati,2025-02,342,120,462
Gajapati,2025-03,237,81,318
Gajapati,2025-04,207,72,279
Gajapati,2025-05,186,63,249
Gajapati,2025-06,189,66,255
Gajapati,2025-07,45,15,60
Gajapati,2025-08,204,72,276
Gajapati,2025-09,222,78,300
Gajapati,2025-10,237,84,321
Gajapati,2025-11,198,69,267
Gajapati,2025-12,162,57,219
Ganderbal,2025-01,22,8,30
Ganderbal,2025-02,51,18,69
Ganderbal,2025-03,15,5,20
Ganderbal,2025-04,10,4,14
Ganderbal,2025-05,12,4,16
Ganderbal,2025-06,17,6,23
Ganderbal,2025-07,10,4,14
Ganderbal,2025-08,25,9,34
Ganderbal,2025-09,41,14,55
Ganderbal,2025-10,26,9,35
Ganderbal,2025-11,25,9,34
Ganderbal,2025-12,14,5,19
Gandhinagar,2025-01,1999,700,2699
Gandhinagar,2025-02,134,47,181
Gandhinagar,2025-03,83,29,112
Gandhinagar,2025-04,64,22,86
Gandhinagar,2025-05,46,16,62
Gandhinagar,2025-06,64,22,86
Gandhinagar,2025-07,36,13,49
Gandhinagar,2025-08,234,82,316
Gandhinagar,2025-09,128,45,173
Gandhinagar,2025-10,119,42,161
Gandhinagar,2025-11,122,43,165
Gandhinagar,2025-12,118,41,159
Ganganagar,2025-01,106,37,143
Ganganagar,2025-02,152,53,205
Ganganagar,2025-03,172,60,232
Ganganagar,2025-04,115,40,155
Ganganagar,2025-05,126,44,170
Ganganagar,2025-06,98,34,132
Ganganagar,2025-07,50,18,68
Ganganagar,2025-08,171,60,231
Ganganagar,2025-09,175,61,236
Ganganagar,2025-10,180,63,243
Ganganagar,2025-11,159,56,215
Ganganagar,2025-12,160,56,216
Ganjam,2025-01,556,196,752
Ganjam,2025-02,844,294,1138
Ganjam,2025-03,334,116,450
Ganjam,2025-04,408,144,552
Ganjam,2025-05,294,104,398
Ganjam,2025-06,426,150,576
Ganjam,2025-07,144,50,194
Ganjam,2025-08,500,176,676
Ganjam,2025-09,560,196,756
Ganjam,2025-10,448,156,604
Ganjam,2025-11,498,174,672
Ganjam,2025-12,384,136,520
Garhwa,2025-01,125,44,169
Garhwa,2025-02,277,97,374
Garhwa,2025-03,108,38,146
Garhwa,2025-04,42,15,57
Garhwa,2025-05,221,77,298
Garhwa,2025-06,172,60,232
Garhwa,2025-07,123,43,166
Garhwa,2025-08,230,80,310
Garhwa,2025-09,235,82,317
Garhwa,2025-10,291,102,393
Garhwa,2025-11,228,80,308
Garhwa,2025-12,174,61,235
Garhwa *,2025-01,7,2,9
Garhwa *,2025-02,13,5,18
Garhwa *,2025-03,16,6,22
Garhwa *,2025-04,5,2,7
Garhwa *,2025-05,7,2,9
