year_month,district,bio_age_5_17,bio_age_17_plus,bio_total
2025-04,South East Delhi,58,61,119
2025-04,South Garo Hills,92,187,279
2025-04,South Goa,2257,1839,4096
2025-04,South Salmara Mankachar,360,161,521
2025-04,South Sikkim,272,131,403
2025-04,South Tripura,4189,4698,8887
2025-04,South Twenty Four Parganas,617,2024,2641
2025-04,South West Delhi,13859,13828,27687
2025-04,South West Garo Hills,242,355,597
2025-04,South West Khasi Hills,193,214,407
2025-04,Sri Muktsar Sahib,3322,4082,7404
2025-04,Sri Potti Sriramulu Nellore,519,369,888
2025-04,Sri Sathya Sai,690,395,1085
2025-04,Srikakulam,29521,7659,37180
2025-04,Srinagar,1911,4827,6738
2025-04,Subarnapur,182,602,784
2025-04,Sukma,879,1508,2387
2025-04,Sultanpur,6820,4691,11511
2025-04,Sundargarh,352,1264,1616
2025-04,Sundergarh,5152,5954,11106
2025-04,Supaul,9887,10713,20600
2025-04,Surajpur,1092,7311,8403
2025-04,Surat,17298,20133,37431
2025-04,Surendra Nagar,5561,6110,11671
2025-04,Surguja,1534,8880,10414
2025-04,Suryapet,513,886,1399
2025-04,Tamenglong,350,640,990
2025-04,Tapi,2229,3622,5851
2025-04,Tarn Taran,3566,8012,11578
2025-04,Tawang,153,118,271
2025-04,Tehri Garhwal,2488,3241,5729
2025-04,Tenkasi,315,229,544
2025-04,Thane,16028,36209,52237
2025-04,Thanjavur,6846,11788,18634
2025-04,The Dangs,2183,2392,4575
2025-04,The Nilgiris,1620,2142,3762
2025-04,Theni,3995,5944,9939
2025-04,Thiruvallur,38,60,98
2025-04,Thiruvananthapuram,7483,11402,18885
2025-04,Thiruvarur,3035,3416,6451
2025-04,Thoothukkudi,6772,8906,15678
2025-04,Thoubal,1572,1195,2767
2025-04,Thrissur,7513,8428,15941
2025-04,Tikamgarh,18725,9641,28366
2025-04,Tinsukia,1387,723,2110
2025-04,Tirap,107,49,156
2025-04,Tiruchirappalli,6150,14884,21034
2025-04,Tirunelveli,8135,13913,22048
2025-04,Tirupati,560,571,1131
2025-04,Tirupattur,904,440,1344
2025-04,Tiruppur,6905,8795,15700
2025-04,Tiruvallur,9932,13307,23239
2025-04,Tiruvannamalai,10684,6104,16788
2025-04,Tonk,2727,4386,7113
2025-04,Tuensang,299,863,1162
2025-04,Tumakuru,2935,2126,5061
2025-04,Tumkur,2015,4759,6774
2025-04,Udaipur,6038,9759,15797
2025-04,Udalguri,2535,738,3273
2025-04,Udham Singh Nagar,5961,5460,11421
2025-04,Udhampur,2272,2989,5261
2025-04,Udupi,2164,1429,3593
2025-04,Ujjain,8884,5904,14788
2025-04,Ukhrul,448,814,1262
2025-04,Umaria,2891,2472,5363
2025-04,Una,1577,2153,3730
2025-04,Unakoti,3375,495,3870
2025-04,Unnao,13248,6435,19683
2025-04,Upper Siang,112,67,179
2025-04,Upper Subansiri,336,230,566
2025-04,Uttar Bastar Kanker,262,2190,2452
2025-04,Uttar Dinajpur,3513,5780,9293
2025-04,Uttara Kannada,2350,2162,4512
2025-04,Uttarkashi,1574,1859,3433
2025-04,Vadodara,6897,14900,21797
2025-04,Vaishali,14309,14410,28719
2025-04,Valsad,4813,5971,10784
2025-04,Varanasi,13733,8781,22514
2025-04,Vellore,11254,10058,21312
2025-04,Vidisha,8486,5753,14239
2025-04,Vijayanagara,921,2505,3426
2025-04,Vijayapura,3058,1987,5045
2025-04,Vikarabad,409,500,909
2025-04,Villupuram,8353,3586,11939
2025-04,Viluppuram,2834,5845,8679
2025-04,Virudhunagar,5189,6673,11862
2025-04,Visakhapatnam,44075,14418,58493
2025-04,Vizianagaram,21930,6001,27931
2025-04,Wanaparthy,323,517,840
2025-04,Warangal,4799,6897,11696
2025-04,Warangal Rural,190,328,518
2025-04,Warangal Urban,278,416,694
2025-04,Wardha,2859,7845,10704
2025-04,Washim,3178,7427,10605
2025-04,Wayanad,1218,2103,3321
2025-04,West,403,472,875
2025-04,West Champaran,13858,12321,26179
2025-04,West Delhi,14572,21234,35806
2025-04,West Garo Hills,1078,3196,4274
2025-04,West Godavari,26832,9379,36211
2025-04,West Jaintia Hills,563,285,848
2025-04,West Kameng,330,637,967
2025-04,West Karbi Anglong,162,188,350
2025-04,West Khasi Hills,461,444,905
2025-04,West Midnapore,327,970,1297
2025-04,West Nimar,417,694,1111
2025-04,West Siang,250,157,407
2025-04,West Sikkim,647,201,848
2025-04,West Singhbhum,13773,11613,25386
2025-04,West Tripura,6514,8037,14551
2025-04,Wokha,327,737,1064
2025-04,Y. S. R,524,347,871
2025-04,Yadadri.,320,628,948
2025-04,Yadgir,3666,3477,7143
2025-04,Yamuna Nagar,4556,7155,11711
2025-04,Yamunanagar,21,82,103
2025-04,Yavatmal,7446,20110,27556
2025-04,Zunheboto,207,1125,1332
2025-04,yadgir,94,337,431
2025-05,ANUGUL,18,14,32
2025-05,Adilabad,5327,5085,10412
2025-05,Agar Malwa,841,1203,2044
2025-05,Agra,19333,9245,28578
2025-05,Ahmadabad,191,2644,2835
2025-05,Ahmadnagar,10752,21200,31952
2025-05,Ahmed Nagar,30,159,189
2025-05,Ahmedabad,26986,37810,64796
2025-05,Aizawl,1038,887,1925
2025-05,Ajmer,4645,6589,11234
2025-05,Akola,4847,14365,19212
2025-05,Alappuzha,6743,6924,13667
2025-05,Aligarh,19473,5828,25301
2025-05,Alipurduar,454,490,944
2025-05,Alirajpur,6203,4179,10382
2025-05,Allahabad,25207,8293,33500
2025-05,Alluri Sitharama Raju,1125,964,2089
2025-05,Almora,1134,1546,2680
2025-05,Alwar,7561,10382,17943
2025-05,Ambala,2595,5584,8179
2025-05,Ambedkar Nagar,4252,3498,7750
2025-05,Amethi,8213,3504,11717
2025-05,Amravati,8696,25649,34345
2025-05,Amreli,5434,4540,9974
2025-05,Amritsar,4809,12680,17489
2025-05,Amroha,9789,2787,12576
2025-05,Anakapalli,565,480,1045
2025-05,Anand,7432,9057,16489
2025-05,Anantapur,5334,6348,11682
2025-05,Ananthapur,10603,2055,12658
2025-05,Ananthapuramu,16807,2592,19399
2025-05,Anantnag,2647,2361,5008
2025-05,Andamans,22,158,180
2025-05,Angul,3657,4400,8057
2025-05,Anjaw,89,101,190
2025-05,Annamayya,1317,595,1912
2025-05,Anugul,10,57,67
2025-05,Anuppur,5999,5131,11130
2025-05,Araria,8591,8598,17189
2025-05,Ariyalur,3288,5623,8911
2025-05,Arvalli,2360,1242,3602
2025-05,Arwal,1452,1735,3187
2025-05,Ashok Nagar,7612,3198,10810
2025-05,Auraiya,5379,2137,7516
2025-05,Aurangabad,14356,26429,40785
2025-05,Ayodhya,386,490,876
2025-05,Azamgarh,9563,8009,17572
2025-05,Badgam,550,987,1537
2025-05,Bagalkot,5232,4284,9516
2025-05,Bagalkot *,31,54,85
2025-05,Bageshwar,681,1962,2643
2025-05,Baghpat,3738,1976,5714
2025-05,Bahraich,14316,4724,19040
2025-05,Baksa,1398,596,1994
2025-05,Balaghat,9527,7651,17178
2025-05,Balangir,5659,6293,11952
2025-05,Baleshwar,888,2284,3172
2025-05,Baleswar,7115,5905,13020
2025-05,Ballari,3568,1489,5057
2025-05,Ballia,9215,5932,15147
2025-05,Balod,1759,7096,8855
2025-05,Baloda Bazar,3113,13104,16217
2025-05,Balrampur,6802,6781,13583
2025-05,Banaskantha,7142,8480,15622
2025-05,Banda,5582,3035,8617
2025-05,Bandipore,1156,1116,2272
2025-05,Bangalore,8792,17856,26648
2025-05,Bangalore Rural,3142,2161,5303
2025-05,Banka,7652,5755,13407
2025-05,Bankura,6792,5331,12123
2025-05,Banswara,2205,3712,5917
2025-05,Bapatla,508,303,811
2025-05,Bara Banki,12134,5094,17228
2025-05,Barabanki,60,255,315
2025-05,Baramula,2233,3890,6123
2025-05,Baran,2119,3301,5420
2025-05,Barddhaman,10430,10783,21213
2025-05,Bardhaman,404,884,1288
2025-05,Bareilly,19714,6883,26597
2025-05,Bargarh,3700,5001,8701
2025-05,Barmer,5786,7592,13378
2025-05,Barnala,1426,2412,3838
2025-05,Barpeta,7973,2201,10174
2025-05,Barwani,13286,9751,23037
2025-05,Bastar,1610,7715,9325
2025-05,Basti,7759,4102,11861
2025-05,Bathinda,3280,6189,9469
2025-05,Baudh,63,393,456
2025-05,Beed,8378,19884,28262
2025-05,Begusarai,8772,7663,16435
2025-05,Belagavi,6509,3387,9896
2025-05,Belgaum,5911,8088,13999
2025-05,Bellary,4390,4354,8744
2025-05,Bemetara,2455,13382,15837
2025-05,Bengaluru,22508,19332,41840
2025-05,Betul,7335,8768,16103
2025-05,Bhadohi,333,292,625
2025-05,Bhadradri Kothagudem,768,637,1405
2025-05,Bhadrak,4952,5342,10294
2025-05,Bhagalpur,8529,7339,15868
2025-05,Bhandara,2463,8202,10665
2025-05,Bharatpur,4546,6419,10965
2025-05,Bharuch,5135,5066,10201
2025-05,Bhavnagar,10156,10611,20767
2025-05,Bhilwara,3291,4164,7455
2025-05,Bhind,6903,3011,9914
2025-05,Bhiwani,3560,6956,10516
2025-05,Bhojpur,4727,5240,9967
2025-05,Bhopal,15573,12290,27863
2025-05,Bid,14,250,264
2025-05,Bidar,4061,4348,8409
2025-05,Bijapur,3474,5629,9103
2025-05,Bijnor,15240,7800,23040
2025-05,Bikaner,3428,6913,10341
2025-05,Bilaspur,3911,17866,21777
2025-05,Birbhum,5958,6296,12254
2025-05,Bishnupur,895,531,1426
2025-05,Biswanath,720,316,1036
2025-05,Bokaro,6177,7932,14109
2025-05,Bongaigaon,2359,946,3305
2025-05,Botad,1370,752,2122
2025-05,Boudh,1100,1416,2516
2025-05,Budaun,7218,3058,10276
2025-05,Budgam,2067,553,2620
2025-05,Bulandshahr,17926,5255,23181
2025-05,Buldana,221,2483,2704
2025-05,Buldhana,5768,11685,17453
2025-05,Bundi,1915,2780,4695
2025-05,Burhanpur,5674,5891,11565
2025-05,Buxar,3077,3175,6252
2025-05,Cachar,4128,2066,6194
2025-05,Central Delhi,3194,4521,7715
2025-05,Chamarajanagar,47,152,199
2025-05,Chamba,930,2000,2930
2025-05,Chamoli,858,1451,2309
2025-05,Champawat,849,1125,1974
2025-05,Champhai,656,346,1002
2025-05,Chamrajanagar,2278,1667,3945
2025-05,Chamrajnagar,72,155,227
2025-05,Chandauli,6024,2900,8924
2025-05,Chandel,327,308,635
2025-05,Chandigarh,3424,3142,6566
2025-05,Chandrapur,6205,17308,23513
2025-05,Changlang,381,268,649
2025-05,Charaideo,384,209,593
2025-05,Charkhi Dadri,275,866,1141
2025-05,Chatra,2477,3025,5502
2025-05,Chatrapati Sambhaji Nagar,50,285,335
2025-05,Chengalpattu,246,244,490
2025-05,Chennai,10494,14069,24563
2025-05,Chhatarpur,11668,7228,18896
2025-05,Chhatrapati Sambhajinagar,119,458,577
2025-05,Chhindwara,10252,10305,20557
2025-05,Chhotaudepur,3901,2781,6682
2025-05,Chickmagalur,1409,1868,3277
2025-05,Chikkaballapur,3354,2327,5681
2025-05,Chikkamagaluru,1666,686,2352
2025-05,Chikmagalur,42,108,150
2025-05,Chirang,1240,685,1925
2025-05,Chitradurga,5145,3765,8910
2025-05,Chitrakoot,4951,2014,6965
2025-05,Chittaurgarh,23,117,140
2025-05,Chittoor,25633,9255,34888
2025-05,Chittorgarh,2099,2450,4549
2025-05,Chumukedima,36,102,138
2025-05,Churachandpur,666,752,1418
2025-05,Churu,3930,6946,10876
2025-05,Coimbatore,11391,18515,29906
2025-05,Cooch Behar,2548,3213,5761
2025-05,Cuddalore,9753,8580,18333
2025-05,Cuddapah,18656,5900,24556
2025-05,Cuttack,7433,10422,17855
2025-05,Dadra & Nagar Haveli,12,103,115
2025-05,Dadra and Nagar Haveli,1553,2390,3943
2025-05,Dahod,8377,6855,15232
2025-05,Dakshin Bastar Dantewada,661,1609,2270
2025-05,Dakshin Dinajpur,2070,2188,4258
2025-05,Dakshina Kannada,6122,4229,10351
2025-05,Daman,347,378,725
2025-05,Damoh,9967,5839,15806
2025-05,Dantewada,357,875,1232
2025-05,Darbhanga,12847,11457,24304
2025-05,Darjeeling,1693,3139,4832
2025-05,Darjiling,59,241,300
2025-05,Darrang,1534,785,2319
2025-05,Datia,4143,2035,6178
2025-05,Dausa,3437,4940,8377
2025-05,Davanagere,76,379,455
2025-05,Davangere,6359,6019,12378
2025-05,Debagarh,997,1154,2151
2025-05,Dehradun,3758,6884,10642
2025-05,Deoghar,3670,3923,7593
2025-05,Deoria,9476,5853,15329
2025-05,Devbhumi Dwarka,2476,1165,3641
2025-05,Dewas,6519,5984,12503
2025-05,Dhalai,2319,1577,3896
2025-05,Dhalai  *,15,46,61
2025-05,Dhamtari,1515,8986,10501
2025-05,Dhanbad,5975,10849,16824
2025-05,Dhar,15939,9186,25125
2025-05,Dharashiv,12,44,56
2025-05,Dharmapuri,5269,3623,8892
2025-05,Dharwad,5773,5683,11456
2025-05,Dhemaji,1031,682,1713
2025-05,Dhenkanal,3954,5173,9127
2025-05,Dholpur,3239,2816,6055
2025-05,Dhubri,2715,1222,3937
2025-05,Dhule,7137,14966,22103
2025-05,Dibang Valley,33,25,58
2025-05,Dibrugarh,1337,1609,2946
2025-05,Dimapur,550,2092,2642
2025-05,Dindigul,6447,13730,20177
2025-05,Dindori,5198,3608,8806
2025-05,Diu,263,202,465
2025-05,Doda,1938,1969,3907
2025-05,Dohad,354,1586,1940
2025-05,Dr. B. R. Ambedkar Konaseema,615,414,1029
2025-05,Dumka,3576,4535,8111
2025-05,Dungarpur,2128,3100,5228
2025-05,Durg,3422,15801,19223
2025-05,East,373,405,778
2025-05,East Champaran,12700,10844,23544
2025-05,East Delhi,7213,10678,17891
2025-05,East Garo Hills,154,311,465
2025-05,East Godavari,29904,11079,40983
2025-05,East Jaintia Hills,168,100,268
2025-05,East Kameng,306,228,534
2025-05,East Khasi Hills,838,1732,2570
2025-05,East Midnapore,1329,1613,2942
2025-05,East Nimar,1421,3575,4996
2025-05,East Siang,165,93,258
2025-05,East Sikkim,288,186,474
2025-05,East Singhbhum,7935,9554,17489
2025-05,Eluru,801,734,1535
2025-05,Ernakulam,14483,11650,26133
2025-05,Erode,6144,9260,15404
2025-05,Etah,11242,2447,13689
2025-05,Etawah,6106,2785,8891
2025-05,Faizabad,7818,2851,10669
2025-05,Faridabad,4394,6637,11031
2025-05,Faridkot,1756,2828,4584
2025-05,Farrukhabad,6515,2114,8629
2025-05,Fatehabad,2589,4161,6750
2025-05,Fatehgarh Sahib,1324,2490,3814
2025-05,Fatehpur,7529,4783,12312
2025-05,Fazilka,2615,3900,6515
2025-05,Ferozepur,1719,3471,5190
2025-05,Firozabad,12496,3316,15812
2025-05,Firozpur,47,364,411
2025-05,Gadag,3784,2254,6038
2025-05,Gadag *,48,95,143
2025-05,Gadchiroli,3105,8605,11710
2025-05,Gajapati,3404,3637,7041
2025-05,Ganderbal,572,798,1370
2025-05,Gandhinagar,5323,6353,11676
2025-05,Ganganagar,3100,6370,9470
2025-05,Ganjam,13453,12395,25848
2025-05,Garhwa,3835,5172,9007
2025-05,Garhwa *,65,379,444
2025-05,Gariyaband,768,4069,4837
2025-05,Gaurela-pendra-marwahi,63,339,402
2025-05,Gautam Buddha Nagar,5563,5199,10762
2025-05,Gaya,10806,8820,19626
2025-05,Ghaziabad,13551,11150,24701
2025-05,Ghazipur,9778,5712,15490
2025-05,Gir Somnath,2737,1688,4425
2025-05,Giridih,5697,6079,11776
2025-05,Goalpara,1264,658,1922
2025-05,Godda,4276,3593,7869
2025-05,Golaghat,808,785,1593
2025-05,Gomati,998,306,1304
2025-05,Gonda,9092,5299,14391
2025-05,Gondiya,2717,6983,9700
2025-05,Gopalganj,6673,6360,13033
2025-05,Gorakhpur,7632,9803,17435
2025-05,Gulbarga,2506,4686,7192
2025-05,Gumla,3857,8406,12263
2025-05,Guna,13763,5675,19438
2025-05,Guntur,28530,12010,40540
2025-05,Gurdaspur,3494,9071,12565
2025-05,Gurgaon,3638,4559,8197
2025-05,Gwalior,10115,6888,17003
2025-05,Hailakandi,650,464,1114
2025-05,Hamirpur,3289,2792,6081
2025-05,Hanumakonda,211,812,1023
2025-05,Hanumangarh,2730,5715,8445
2025-05,Haora,727,2646,3373
2025-05,Hapur,3530,1885,5415
2025-05,Harda,2304,1931,4235
2025-05,Harda *,234,886,1120
2025-05,Hardoi,17625,5669,23294
2025-05,Haridwar,5031,5134,10165
2025-05,Hasan,385,892,1277
2025-05,Hassan,4707,2426,7133
2025-05,Hathras,8660,2155,10815
2025-05,Haveri,4944,5385,10329
2025-05,Haveri *,45,151,196
2025-05,Hazaribag,157,640,797
2025-05,Hazaribagh,3961,3948,7909
2025-05,Hingoli,3574,8537,12111
2025-05,Hisar,5072,7266,12338
2025-05,Hojai,1005,1076,2081
2025-05,Hooghly,9445,10873,20318
2025-05,Hoshangabad,6421,6345,12766
2025-05,Hoshiarpur,3279,7156,10435
2025-05,Howrah,5192,7400,12592
2025-05,Hyderabad,13691,18986,32677
2025-05,Idukki,3849,3625,7474
2025-05,Imphal East,1500,1170,2670
2025-05,Imphal West,1611,1244,2855
2025-05,Indore,13712,13401,27113
2025-05,JAJPUR,2351,2012,4363
2025-05,Jabalpur,9240,7673,16913
2025-05,Jagatsinghapur,2513,2683,5196
2025-05,Jagatsinghpur,222,923,1145
2025-05,Jagitial,632,450,1082
2025-05,Jaipur,12897,22745,35642
2025-05,Jaisalmer,1218,1954,3172
2025-05,Jajapur,3737,3733,7470
2025-05,Jajpur,27,25,52
2025-05,Jalandhar,4547,11979,16526
2025-05,Jalaun,4932,3025,7957
2025-05,Jalgaon,12305,30929,43234
2025-05,Jalna,5279,13214,18493
2025-05,Jalor,2775,4881,7656
2025-05,Jalpaiguri,3770,5726,9496
2025-05,Jammu,3268,6010,9278
2025-05,Jamnagar,7695,6573,14268
2025-05,Jamtara,2169,2513,4682
2025-05,Jamui,5842,3547,9389
2025-05,Jangoan,197,207,404
2025-05,Janjgir-champa,2831,13587,16418
2025-05,Jashpur,1488,5051,6539
2025-05,Jaunpur,11317,6959,18276
2025-05,Jayashankar Bhupalpally,224,258,482
2025-05,Jehanabad,1865,1881,3746
2025-05,Jhabua,7472,3874,11346
2025-05,Jhajjar,2083,3670,5753
2025-05,Jhalawar,1688,3065,4753
2025-05,Jhansi,6462,4314,10776
2025-05,Jhargram,177,257,434
2025-05,Jharsuguda,1322,1497,2819
2025-05,Jhunjhunu,16,61,77
2025-05,Jhunjhunun,3186,6997,10183
2025-05,Jind,3306,6372,9678
2025-05,Jiribam,28,229,257
2025-05,Jodhpur,7037,11109,18146
2025-05,Jogulamba Gadwal,438,518,956
2025-05,Jorhat,712,555,1267
2025-05,Junagadh,4568,9031,13599
2025-05,K.v. Rangareddy,12254,11168,23422
2025-05,Kabeerdham,786,2783,3569
2025-05,Kachchh,10768,8013,18781
2025-05,Kaimur (Bhabua),4375,3917,8292
2025-05,Kaithal,2881,5344,8225
2025-05,Kakching,83,54,137
2025-05,Kakinada,1272,742,2014
2025-05,Kalaburagi,5253,3154,8407
2025-05,Kalahandi,4081,6162,10243
2025-05,Kalimpong,34,24,58
2025-05,Kallakurichi,235,267,502
2025-05,Kamareddy,530,556,1086
2025-05,Kamrup,3553,1175,4728
2025-05,Kamrup Metro,1697,1412,3109
2025-05,Kancheepuram,12512,12815,25327
2025-05,Kandhamal,3042,3395,6437
2025-05,Kangra,2600,4361,6961
2025-05,Kanker,1052,3581,4633
2025-05,Kannauj,5736,2040,7776
2025-05,Kanniyakumari,3412,4824,8236
2025-05,Kannur,9785,7844,17629
2025-05,Kanpur Dehat,6873,2107,8980
2025-05,Kanpur Nagar,9393,10813,20206
2025-05,Kanyakumari,2722,971,3693
2025-05,Kapurthala,1762,5143,6905
2025-05,Karaikal,567,853,1420
2025-05,Karauli,3996,3254,7250
2025-05,Karbi Anglong,2525,968,3493
2025-05,Kargil,196,272,468
2025-05,Karim Nagar,40,116,156
2025-05,Karimganj,1373,809,2182
2025-05,Karimnagar,10661,7185,17846
2025-05,Karnal,3021,7129,10150
2025-05,Karur,3015,3114,6129
2025-05,Kasaragod,6753,4286,11039
2025-05,Kasargod,14,81,95
2025-05,Kasganj,6215,2130,8345
2025-05,Kathua,2143,1970,4113
2025-05,Katihar,11024,11144,22168
2025-05,Katni,5971,4594,10565
2025-05,Kaushambi,11295,2012,13307
2025-05,Kawardha,1238,5710,6948
2025-05,Kendrapara,4115,4911,9026
2025-05,Kendujhar,7326,7700,15026
2025-05,Khagaria,4203,4085,8288
2025-05,Khammam,6096,4246,10342
2025-05,Khandwa,5422,2663,8085
2025-05,Khargone,12093,10083,22176
2025-05,Kheda,6775,7951,14726
2025-05,Kheri,10615,4323,14938
2025-05,Khorda,5310,6509,11819
2025-05,Khordha,205,1529,1734
2025-05,Khowai,683,266,949
2025-05,Khunti,1600,2746,4346
2025-05,Kinnaur,127,207,334
2025-05,Kiphire,268,471,739
2025-05,Kishanganj,6382,8117,14499
2025-05,Kishtwar,1890,1547,3437
2025-05,Koch Bihar,368,1081,1449
2025-05,Kodagu,1543,1096,2639
2025-05,Kodarma,123,458,581
2025-05,Koderma,2018,2415,4433
2025-05,Kohima,231,1575,1806
2025-05,Kokrajhar,1955,950,2905
2025-05,Kolar,5179,3878,9057
2025-05,Kolasib,377,268,645
2025-05,Kolhapur,11630,19495,31125
2025-05,Kolkata,3322,8352,11674
2025-05,Kollam,9489,10764,20253
2025-05,Komaram Bheem,338,387,725
2025-05,Kondagaon,1041,3407,4448
2025-05,Koppal,4851,3125,7976
2025-05,Koraput,4492,5824,10316
2025-05,Korba,2140,7979,10119
2025-05,Koriya,1056,4545,5601
2025-05,Kota,2917,4564,7481
2025-05,Kottayam,5931,6195,12126
2025-05,Kozhikode,11230,9081,20311
2025-05,Kra Daadi,118,80,198
2025-05,Krishna,20478,9521,29999
2025-05,Krishnagiri,6711,4807,11518
2025-05,Kulgam,1479,1398,2877
2025-05,Kullu,667,1074,1741
2025-05,Kupwara,2283,2807,5090
2025-05,Kurnool,38609,11871,50480
2025-05,Kurukshetra,2344,5548,7892
2025-05,Kurung Kumey,128,328,456
2025-05,Kushinagar,7693,6395,14088
2025-05,Lakhimpur,1517,969,2486
2025-05,Lakhisarai,2807,2654,5461
2025-05,Lakshadweep,330,371,701
2025-05,Lalitpur,3420,2509,5929
2025-05,Latehar,2121,1986,4107
2025-05,Latur,7842,28794,36636
2025-05,Lawngtlai,583,544,1127
2025-05,Leh,199,203,402
2025-05,Lohardaga,1411,2759,4170
2025-05,Lohit,173,281,454
2025-05,Longding,196,124,320
2025-05,Longleng,60,203,263
2025-05,Lower Dibang Valley,121,112,233
2025-05,Lower Siang,12,10,22
2025-05,Lower Subansiri,155,196,351
2025-05,Lucknow,12945,10891,23836
2025-05,Ludhiana,8273,15090,23363
2025-05,Lunglei,1048,591,1639
2025-05,Madhepura,7859,5953,13812
2025-05,Madhubani,16018,14123,30141
2025-05,Madurai,10264,12920,23184
2025-05,Mahabub Nagar,37,79,116
2025-05,Mahabubabad,479,398,877
2025-05,Mahabubnagar,10931,7444,18375
2025-05,Maharajganj,5024,4153,9177
2025-05,Mahasamund,1642,8428,10070
2025-05,Mahbubnagar,244,696,940
2025-05,Mahendragarh,1634,3057,4691
2025-05,Mahesana,5382,7238,12620
2025-05,Mahisagar,2174,1643,3817
2025-05,Mahoba,2569,1192,3761
2025-05,Mainpuri,6433,2568,9001
2025-05,Majuli,296,115,411
2025-05,Malappuram,19020,15466,34486
2025-05,Malda,3817,5693,9510
2025-05,Maldah,364,899,1263
2025-05,Malerkotla,696,1246,1942
2025-05,Malkangiri,2683,2328,5011
2025-05,Mamit,540,128,668
2025-05,Mammit,82,58,140
2025-05,Mancherial,651,504,1155
2025-05,Mandi,1730,3266,4996
2025-05,Mandla,5699,3652,9351
2025-05,Mandsaur,6827,5260,12087
2025-05,Mandya,5982,4304,10286
2025-05,Mansa,2309,4700,7009
2025-05,Marigaon,1477,923,2400
2025-05,Mathura,9243,4382,13625
2025-05,Mau,4313,3847,8160
2025-05,Mauganj,16,57,73
2025-05,Mayiladuthurai,61,16,77
2025-05,Mayurbhanj,9915,11102,21017
2025-05,Medak,6719,5853,12572
2025-05,Medchal-malkajgiri,1259,1794,3053
2025-05,Meerut,11034,7199,18233
2025-05,Mewat,3067,3114,6181
2025-05,Mirzapur,8407,3269,11676
2025-05,Moga,2535,5081,7616
2025-05,Mohla-Manpur-Ambagarh Chouki,176,721,897
2025-05,Mokokchung,160,1241,1401
2025-05,Mon,398,986,1384
2025-05,Moradabad,10658,5928,16586
2025-05,Morbi,3969,1670,5639
2025-05,Morena,14885,5592,20477
2025-05,Muktsar,63,766,829
2025-05,Mulugu,310,276,586
2025-05,Mumbai,14123,31216,45339
2025-05,Mumbai City,2638,2445,5083
2025-05,Mumbai Suburban,8945,8965,17910
2025-05,Mumbai( Sub Urban ),33,187,220
2025-05,Mungeli,1994,6293,8287
2025-05,Munger,2651,2836,5487
2025-05,Murshidabad,10714,13442,24156
2025-05,Muzaffarnagar,13303,6068,19371
2025-05,Muzaffarpur,12578,12122,24700
2025-05,Mysore,2634,4356,6990
2025-05,Mysuru,4685,3119,7804
2025-05,N. T. R,1040,991,2031
2025-05,Nabarangapur,5652,5744,11396
2025-05,Nadia,6885,8781,15666
2025-05,Nagaon,3311,4916,8227
2025-05,Nagapattinam,4350,4403,8753
2025-05,Nagarkurnool,564,397,961
2025-05,Nagaur,7766,11141,18907
2025-05,Nagpur,12341,27562,39903
2025-05,Nainital,2371,3326,5697
2025-05,Najafgarh,15,155,170
2025-05,Nalanda,6448,6644,13092
2025-05,Nalbari,669,421,1090
2025-05,Nalgonda,10319,7451,17770
2025-05,Namakkal,4830,8230,13060
2025-05,Namsai,423,413,836
2025-05,Nanded,8711,25421,34132
2025-05,Nandurbar,6834,17456,24290
2025-05,Nandyal,1107,649,1756
2025-05,Narayanpet,193,213,406
2025-05,Narayanpur,572,1936,2508
2025-05,Narmada,2301,3087,5388
2025-05,Narmadapuram,183,724,907
2025-05,Narsimhapur,254,829,1083
2025-05,Narsinghpur,4437,3011,7448
2025-05,Nashik,15830,34979,50809
2025-05,Navsari,2904,2740,5644
2025-05,Nawada,4894,4112,9006
2025-05,Nayagarh,3158,4319,7477
2025-05,Neemuch,5948,3106,9054
2025-05,Nellore,17287,6800,24087
2025-05,New Delhi,271,259,530
2025-05,Nicobar,34,50,84
2025-05,Nirmal,397,474,871
2025-05,Niuland,14,30,44
2025-05,Niwari,172,167,339
2025-05,Nizamabad,6361,5579,11940
2025-05,Noklak,27,96,123
2025-05,North 24 Parganas,11231,15085,26316
2025-05,North And Middle Andaman,272,250,522
2025-05,North Cachar Hills,209,119,328
2025-05,North Delhi,3388,5005,8393
2025-05,North Dinajpur,16,83,99
2025-05,North East,351,7754,8105
2025-05,North East Delhi,11102,10130,21232
2025-05,North Garo Hills,92,55,147
2025-05,North Goa,2049,2289,4338
2025-05,North Sikkim,42,39,81
2025-05,North Tripura,1636,2476,4112
2025-05,North Twenty Four Parganas,357,1151,1508
2025-05,North West Delhi,18087,28734,46821
2025-05,Nuapada,1883,2542,4425
2025-05,Osmanabad,6156,13014,19170
2025-05,Pakaur,115,167,282
2025-05,Pakur,3455,2024,5479
2025-05,Palakkad,12059,12731,24790
2025-05,Palamau,24,173,197
2025-05,Palamu,4879,5455,10334
2025-05,Palghar,9368,9054,18422
2025-05,Pali,4638,8816,13454
2025-05,Palnadu,1259,700,1959
2025-05,Palwal,2611,3067,5678
2025-05,Panchkula,1714,2447,4161
2025-05,Panchmahals,4063,7124,11187
2025-05,Panipat,2801,5034,7835
2025-05,Panna,8098,4489,12587
2025-05,Papum Pare,496,687,1183
2025-05,Parbhani,6247,14276,20523
2025-05,Parvathipuram Manyam,1014,786,1800
